Order_ID,Order_Date,Customer_ID,Region,City,Product,Category,Quantity,Unit_Price,Discount,Gross_Sales,Discount_Amount,Net_Sales,Month,Month_Number
ORD0001,2025-01-21,CUST103,North,Jaipur,Mouse,Accessories,3.0,25,0.1,75.0,7.5,67.5,Jan,1
ORD0002,2025-04-10,CUST104,East,Patna,Monitor,Electronics,3.0,220,0.05,660.0,33.0,627.0,Apr,4
ORD0003,2025-10-21,CUST130,South,Bengaluru,Keyboard,Accessories,2.0,45,0.1,90.0,9.0,81.0,Oct,10
ORD0004,2025-09-10,CUST089,North,Delhi,Mouse,Accessories,4.0,25,0.05,100.0,5.0,95.0,Sep,9
ORD0005,2025-07-07,CUST015,East,Patna,Laptop,Electronics,7.0,650,0.0,4550.0,0.0,4550.0,Jul,7
ORD0006,2025-02-24,CUST064,South,Hyderabad,Printer,Office Equipment,6.0,180,0.0,1080.0,0.0,1080.0,Feb,2
ORD0007,2025-11-25,CUST018,East,Kolkata,Laptop,Electronics,3.0,650,0.1,1950.0,195.0,1755.0,Nov,11
ORD0008,2025-12-12,CUST053,North,Chandigarh,Mouse,Accessories,2.0,25,0.05,50.0,2.5,47.5,Dec,12
ORD0009,2025-09-21,CUST035,West,Ahmedabad,Monitor,Electronics,4.0,220,0.0,880.0,0.0,880.0,Sep,9
ORD0010,2025-02-23,CUST106,North,Chandigarh,Printer,Office Equipment,8.0,180,0.1,1440.0,144.0,1296.0,Feb,2
ORD0011,2025-02-13,CUST014,South,Bengaluru,Mouse,Accessories,7.0,25,0.1,175.0,17.5,157.5,Feb,2
ORD0012,2025-07-27,CUST082,East,Kolkata,Printer,Office Equipment,6.0,180,0.0,1080.0,0.0,1080.0,Jul,7
ORD0013,2025-02-10,CUST015,West,Pune,Headphones,Accessories,1.0,80,0.0,80.0,0.0,80.0,Feb,2
ORD0014,2025-05-09,CUST136,North,Delhi,Headphones,Accessories,7.0,80,0.05,560.0,28.0,532.0,May,5
ORD0015,2025-10-16,CUST123,East,Kolkata,Keyboard,Accessories,8.0,45,0.1,360.0,36.0,324.0,Oct,10
ORD0016,2025-05-15,CUST072,South,Hyderabad,Headphones,Accessories,2.0,80,0.0,160.0,0.0,160.0,May,5
ORD0017,2025-03-03,CUST037,South,Bengaluru,Mouse,Accessories,8.0,25,0.05,200.0,10.0,190.0,Mar,3
ORD0018,2025-08-15,CUST101,West,Pune,Keyboard,Accessories,3.0,45,0.05,135.0,6.75,128.25,Aug,8
ORD0019,2025-09-12,CUST142,East,Kolkata,Printer,Office Equipment,5.0,180,0.05,900.0,45.0,855.0,Sep,9
ORD0020,2025-06-28,CUST063,North,Jaipur,Keyboard,Accessories,7.0,45,0.0,315.0,0.0,315.0,Jun,6
ORD0021,2025-08-19,CUST143,West,Mumbai,Laptop,Electronics,8.0,650,0.1,5200.0,520.0,4680.0,Aug,8
ORD0022,2025-08-31,CUST086,North,Delhi,Keyboard,Accessories,8.0,45,0.05,360.0,18.0,342.0,Aug,8
ORD0023,2025-05-14,CUST028,South,Chennai,Mouse,Accessories,5.0,25,0.0,125.0,0.0,125.0,May,5
ORD0024,2025-12-14,CUST129,West,Pune,Mouse,Accessories,6.0,25,0.05,150.0,7.5,142.5,Dec,12
ORD0025,2025-08-21,CUST003,East,Bhubaneswar,Laptop,Electronics,1.0,650,0.1,650.0,65.0,585.0,Aug,8
ORD0026,2025-08-13,CUST051,West,Ahmedabad,Printer,Office Equipment,1.0,180,0.05,180.0,9.0,171.0,Aug,8
ORD0027,2025-04-06,CUST113,West,Ahmedabad,Monitor,Electronics,3.0,220,0.0,660.0,0.0,660.0,Apr,4
ORD0028,2025-10-22,CUST130,North,Chandigarh,Printer,Office Equipment,4.0,180,0.0,720.0,0.0,720.0,Oct,10
ORD0029,2025-07-06,CUST113,North,Delhi,Keyboard,Accessories,1.0,45,0.15,45.0,6.75,38.25,Jul,7
ORD0030,2025-08-13,CUST129,South,Chennai,Monitor,Electronics,7.0,220,0.0,1540.0,0.0,1540.0,Aug,8
ORD0031,2025-06-09,CUST068,South,Chennai,Keyboard,Accessories,5.0,45,0.05,225.0,11.25,213.75,Jun,6
ORD0032,2025-10-07,CUST069,West,Ahmedabad,Keyboard,Accessories,1.0,45,0.1,45.0,4.5,40.5,Oct,10
ORD0033,2025-08-28,CUST144,South,Chennai,Mouse,Accessories,6.0,25,0.05,150.0,7.5,142.5,Aug,8
ORD0034,2025-09-16,CUST148,North,Jaipur,Laptop,Electronics,6.0,650,0.1,3900.0,390.0,3510.0,Sep,9
ORD0035,2025-05-27,CUST148,East,Patna,Mouse,Accessories,2.0,25,0.05,50.0,2.5,47.5,May,5
ORD0036,2025-12-04,CUST104,North,Delhi,Mouse,Accessories,8.0,25,0.05,200.0,10.0,190.0,Dec,12
ORD0037,2025-10-25,CUST099,East,Kolkata,Laptop,Electronics,1.0,650,0.0,650.0,0.0,650.0,Oct,10
ORD0038,2025-03-01,CUST113,West,Pune,Mouse,Accessories,8.0,25,0.05,200.0,10.0,190.0,Mar,3
ORD0039,2025-06-09,CUST009,North,Chandigarh,Monitor,Electronics,4.0,220,0.05,880.0,44.0,836.0,Jun,6
ORD0040,2025-06-01,CUST054,East,Patna,Laptop,Electronics,8.0,650,0.1,5200.0,520.0,4680.0,Jun,6
ORD0041,2025-04-14,CUST084,West,Ahmedabad,Laptop,Electronics,1.0,650,0.0,650.0,0.0,650.0,Apr,4
ORD0042,2025-12-15,CUST146,East,Bhubaneswar,Printer,Office Equipment,1.0,180,0.1,180.0,18.0,162.0,Dec,12
ORD0043,2025-06-18,CUST068,South,Chennai,Printer,Office Equipment,6.0,180,0.05,1080.0,54.0,1026.0,Jun,6
ORD0044,2025-05-15,CUST145,South,Bengaluru,Laptop,Electronics,8.0,650,0.1,5200.0,520.0,4680.0,May,5
ORD0045,2025-01-22,CUST038,West,Ahmedabad,Laptop,Electronics,3.0,650,0.05,1950.0,97.5,1852.5,Jan,1
ORD0046,2025-01-27,CUST021,North,Jaipur,Printer,Office Equipment,6.0,180,0.15,1080.0,162.0,918.0,Jan,1
ORD0047,2025-11-13,CUST048,North,Jaipur,Printer,Office Equipment,8.0,180,0.1,1440.0,144.0,1296.0,Nov,11
ORD0048,2025-01-17,CUST046,West,Ahmedabad,Keyboard,Accessories,8.0,45,0.05,360.0,18.0,342.0,Jan,1
ORD0049,2025-10-07,CUST093,South,Hyderabad,Headphones,Accessories,4.0,80,0.0,320.0,0.0,320.0,Oct,10
ORD0050,2025-04-26,CUST067,South,Bengaluru,Laptop,Electronics,7.0,650,0.15,4550.0,682.5,3867.5,Apr,4
ORD0051,2025-11-19,CUST104,North,Chandigarh,Monitor,Electronics,7.0,220,0.1,1540.0,154.0,1386.0,Nov,11
ORD0052,2025-05-31,CUST127,West,Pune,Printer,Office Equipment,8.0,180,0.1,1440.0,144.0,1296.0,May,5
ORD0053,2025-10-26,CUST039,South,Chennai,Keyboard,Accessories,2.0,45,0.1,90.0,9.0,81.0,Oct,10
ORD0054,2025-01-13,CUST060,South,Hyderabad,Headphones,Accessories,2.0,80,0.1,160.0,16.0,144.0,Jan,1
ORD0055,2025-11-17,CUST008,East,Kolkata,Monitor,Electronics,4.0,220,0.1,880.0,88.0,792.0,Nov,11
ORD0056,2025-05-23,CUST092,West,Pune,Printer,Office Equipment,4.0,180,0.1,720.0,72.0,648.0,May,5
