Order_ID,Order_Date,Customer_ID,Region,City,Product,Category,Quantity,Unit_Price,Discount
ORD0001,2025-01-21,CUST103,North,Jaipur,Mouse,Accessories,3.0,25,0.1
ORD0002,2025-04-10,CUST104,East,Patna,Monitor,Electronics,3.0,220,0.05
ORD0003,2025-10-21,CUST130,South,Bengaluru,Keyboard,Accessories,2.0,45,0.1
ORD0004,2025-09-10,CUST089,North,Delhi,Mouse,Accessories,4.0,25,0.05
ORD0005,2025-07-07,CUST015,East,Patna,Laptop,Electronics,7.0,650,0.0
ORD0006,2025-02-24,CUST064,South,Hyderabad,Printer,Office Equipment,6.0,180,0.0
ORD0007,2025-11-25,CUST018,East,Kolkata,Laptop,Electronics,3.0,650,0.1
ORD0008,2025-12-12,CUST053,North,Chandigarh,Mouse,Accessories,2.0,25,0.05
ORD0009,2025-09-21,CUST035,West,Ahmedabad,Monitor,Electronics,4.0,220,0.0
ORD0010,2025-02-23,CUST106,North,Chandigarh,Printer,Office Equipment,8.0,180,0.1
ORD0011,2025-02-13,CUST014,South,Bengaluru,Mouse,Accessories,7.0,25,0.1
ORD0012,2025-07-27,CUST082,East,Kolkata,Printer,Office Equipment,6.0,180,0.0
ORD0013,2025-02-10,CUST015,West,Pune,Headphones,Accessories,1.0,80,0.0
ORD0014,2025-05-09,CUST136,North,Delhi,Headphones,Accessories,7.0,80,0.05
ORD0015,2025-10-16,CUST123,East,Kolkata,Keyboard,Accessories,8.0,45,0.1
ORD0016,2025-05-15,CUST072,South,Hyderabad,Headphones,Accessories,2.0,80,0.0
ORD0017,2025-03-03,CUST037,South,Bengaluru,Mouse,Accessories,8.0,25,0.05
ORD0018,2025-08-15,CUST101,West,Pune,Keyboard,Accessories,3.0,45,0.05
ORD0019,2025-09-12,CUST142,East,Kolkata,Printer,Office Equipment,5.0,180,0.05
ORD0020,2025-06-28,CUST063,North,Jaipur,Keyboard,Accessories,7.0,45,0.0
ORD0021,2025-08-19,CUST143,West, Mumbai ,Laptop,Electronics,8.0,650,0.1
ORD0022,2025-08-31,CUST086,North,Delhi,Keyboard,Accessories,8.0,45,0.05
ORD0023,2025-05-14,CUST028,South,Chennai,Mouse,Accessories,5.0,25,0.0
ORD0024,2025-12-14,CUST129,West,Pune,Mouse,Accessories,6.0,25,0.05
ORD0025,2025-08-21,CUST003,East,Bhubaneswar,Laptop,Electronics,1.0,650,0.1
ORD0026,2025-08-13,CUST051,West,Ahmedabad,Printer,Office Equipment,1.0,180,0.05
